date,eur_usd,inventory,production,rigs,inflation,wti_6m_rolling,wti_12m_rolling,wti_6m_lag,wti
2013-01-01,1.3303904761904763,336056.9493087557,7083.0,1756.0,1.6,91.21398135737896,93.65164435834315,87.8952380952381,94.75666666666667
2013-02-01,1.3346736842105262,347073.25,7145.0,1762.0,2.0,91.41025519414478,93.0770566390449,94.13130434782607,95.30894736842104
2013-03-01,1.2953142857142856,356168.400921659,7214.0,1756.0,1.5,91.1477244923904,91.97545436631763,94.51368421052632,92.9385
2013-04-01,1.302518181818182,361376.1857142857,7374.0,1755.0,1.1,91.56940104047999,91.03381800268129,89.4913043478261,92.02136363636365
2013-05-01,1.2983136363636365,366330.2580645161,7326.0,1767.0,1.4,92.89908718766613,91.02173466934795,86.53142857142858,94.50954545454546
2013-06-01,1.319715,362924.06666666665,7277.0,1761.0,1.8,94.21792052099947,92.14416522490349,87.8595,95.7725
2013-07-01,1.3087863636363637,339322.0184331797,7522.0,1766.0,2.0,95.87029425837322,93.54213780787609,94.75666666666667,104.67090909090908
2013-08-01,1.3313545454545457,332328.81105990784,7534.0,1781.0,1.5,97.7475909090909,94.57892305161785,95.30894736842104,106.57272727272726
2013-09-01,1.336415,330676.6952380952,7838.0,1760.0,1.2,99.97275757575757,95.56024103407397,92.9385,106.2895
2013-10-01,1.3645909090909092,348693.8202764977,7760.0,1744.0,1.0,101.39224044795783,96.48082074421893,92.02136363636365,100.53826086956522
2013-11-01,1.349084210526316,358718.4666666667,7919.0,1756.0,1.2,101.28464953886693,97.09186836326653,94.50954545454546,93.864
2013-12-01,1.3708,339767.63594470045,7932.0,1771.0,1.5,101.5934392214066,97.90567987120305,95.7725,97.6252380952381
2014-01-01,1.361795238095238,323525.9447004608,8072.0,1769.0,1.6,99.91781151577891,97.89405288707606,104.67090909090908,94.61714285714284
2014-02-01,1.366521052631579,330512.25,8149.0,1769.0,1.1,98.95858504049981,98.35308797479536,106.57272727272726,100.81736842105263
2014-03-01,1.3828190476190476,344287.2350230415,8291.0,1803.0,1.5,98.04430329446807,99.0085304351128,106.2895,100.80380952380952
